Position,Rating,Review Title,Role,Pros,Cons
775,4,Amazing Company,Anonymous employee,the environment is friendly work life balance good opportunity to learn as a junior,low salary and difficult to be promote as a senior
776,1,Hated the company,Chef,Nothing to highlight except that some people are really nice to work with,Management is basically -> If you have friends  promotion
777,4,Great work culture,Game tester,Good Work Culture Good recognitions Time flexibility,Slow Growth Minimal Salary Increasing toxicity
778,1,Worst,Game tester,The salary is very bad,Nothing to share here so
779,5,Great employer,Ai programmer,Good benefits and many social events,Not enough experience to tell
780,4,Good,Human resource intern,Free Breakfast 😂 Great work Place Great Experience,Work Life Balance Work Load
781,4,great place to work at,Developer,good benefits health care interesting work,a lot of changes in the teams
782,1,Art Director can't even do art properly.,3d artist,"If you are a fresh graduate, its nice to work here for experience. But after 2-3 years just leave. management doesn't know what to do because there's not enough budget to scale the business. the business model of the studio is to exploit fresh grads.","Art director cant lead by example. You'll be welcomed by a burnt out team. Studio location is in the middle of nowhere. Mode of transportation is only company shuttle(free) if you miss that, you are screwed. A ton more cons. lets just start with these 3."
783,5,Great place to work,Concept artist,It had an inclusive company culture.,The direction could have been better.
784,4,Work Culture,Anonymous employee,Good work culture. Respect people value,Salary is low as per market
785,4,Great company but low compensations,Development tester,Good work life balance and positive workplace Exciting projects and fun work Decent benefits and time off package,Low compensations/salaries Very little room for career growth
786,3,Nice company but very limited opportunities,Senior web developer,- Excellent in work life balance - no work pressure at all. - Nice working atmosphere.,- Very limited opportunities. It's very hard to promote. - Salary scale is very poor. - Can't get opportunity to switch in other technologies.
787,5,Good work,Anonymous employee,Good Workplace Solid Location Great,Salary Time Opportunities Benefits Learning
788,4,"Positive environment, less competitive pay",Programmer,"Wholesome and fun environment, supportive teams, interesting work",Less competitive pay compared to other gaming companies and studios
789,5,Perfect recruitment process,Senior product manager,"Ubisoft did an amazing job during the recruitment process on all aspects: transparency, follow-up, clarity. Diversity and inclusion is at the core of the company culture",None on my point of view
790,2,"Ubisoft - a place to start, not to stay",Quality assurance,"Constant push to learn new things, try new things",Pay increase feels minimal to their increasing demands
791,5,Marketing leader with extensive experience in the media and gaming industry,Marketing director,"Games, marketing campaigns, employees management etc.","Making profits, management, creative side, etc."
792,5,Awesome culture!,Ai programmer,Nice culture and treat. Interesting projects and generally okay salary.,"Too much bureaucracy, slow development due to this"
793,4,Great Internship,Data analyst intern,"Work environment is great, teams are passionate.",Lack of dialogue between studios.
794,4,Good company with opportunities,Ui programmer,"- It's easy to create ourselves opportunities in Ubisoft and evolve in our career - Nice company culture with a lot of events and stuff that makes working actually fun - Good salary overall even if not amongst the best ones on the market - Since the scandals that took place a few years ago, Ubisoft really worked on making the company being a good and inclusive place",project managements seem to be unaware of what actually happens on the field and sometimes their Decisions seems to make no sense
795,5,Best company for freshers and Gamers,Qa - game tester,Very Nice management System always help you to grow.,"Nothing , everything is good"
796,4,Manager,Manager,Lots of internal opportunities to learn and experiment,Loads of inefficiencies and strong french business culture
797,5,Best company,Test analyst,"Best work environment ,best leads and teammates","No cons ,juz salary is low"
798,2,Cheap and asks for a lot,Ui programmer,"After transitioning over from the tech industry this was my first job in the games industry. They offered me a level 2 position and allowed me to spend some time upfront learning the ropes. Some of the benefits were also pretty good, particularly 6 weeks of vacation, an onsite medical clinic, and personal trainers at the company gym. And I guess it's a plus that I was never asked to crunch (live game).","The technical onboarding consists of being sent a giant folder of links to documentation that is old and often wrong. Finding the right way to run the development environment and debug Ubisoft's internal tools was challenging, and since I didn't come in as a level 1, at some point their patience abruptly ran out. Apparently a learning curve is not tolerated if it's not your first job out of university. I eventually did find a solid rhythm for completing tasks, but I was frequently criticized by my manager for asking questions (not ""help I don't know anything solve this for me"" questions, more like ""I've diagnosed the issue and found a potential solution, but I'd like your opinion on my approach before wasting time implementing code that will get rejected in review"" questions). So I was submitting quality code that was OK'd quickly by fellow programmers, but put on my manager's shitlist because I wasn't enough of a lone wolf. It's the total opposite of most work environments I've been in, very weird. I have to add that on top of this frustrating work experience, the compensation was below industry standard (although better than before for new hires it seems), and the company tended to have a cheap attitude about many things, compared to other companies where I've worked. Expect to pay yourself for things that you might have expected to be covered at other jobs (coffee, cutlery, transportation to special company events). Also expect regular ads in your work email for you to buy stuff from your employer, like you're a customer, not an employee."
799,4,Great Internship,Data analyst intern,"Work environment, teams are passionate",Lack of dialogue between studios
800,3,Life as junior 3D Artist,Junior 3d artist,Good work experience for newly graduated students. AAA game project exposure. Great for your work portfolio.,"Company has bad Office Politics. The Culture is so woke you can't even talk freely, cuz you might offend someone. No Overtime Pay"
801,3,Ok company but still has some work to do...,Lead sound designer,- Culture is improving - Nice Studio in Montreal - Work from home,"- Salary a little below industry, bonus are rare. - Not possible to work remotely from another country a few months per year. - Too many managers and too much iterations on project. - No studio Bonus for employees since Pandemic. - Old engines and not open to partnerships (for instance with Unreal to improve their tech and stay modern). - Game franchise are getting old, they surf on their well known franchise/remakes which can become a little boring."
802,1,"Promising opportunities, but need to address team dynamics and autonomy freedom",User researcher,- Real opportunity to contribute to popular game franchises - Good opportunities for career growth - Global presence with diverse locations - Extra benefits and perks - Good equipment,"- Limited creative freedom and overly constrained processes hinder proactivity. - Communication challenges include language barriers, misinterpretations, and information sharing delays. - Required efforts to address diversity and inclusion. Poor team dynamics and Culture issues affecting marginalized groups."
803,1,No wonder why Ubisoft is in bad shape,Peis / player experience interaction specialist,"The office is beautiful, without being the best in the world Work/Life balance isn't too bad",Lot of dramas Really underpaid Toxic management - especially high management Below 40% of people are actually gamers
804,3,"Fun times, bad company",Software engineer (junior programmer),"Had really fun times on the projects I've worked on, made some great friends there, and work atmosphere was amazing! But not because company was cherishing it but because I had luck to work with amazing group of people! Still most fun and responsibility I had at work even on Junior level.",Company is not recognizing effort and progress being made out of passion. They will force you in lower ranks so they pay you less...
805,4,"lots to learn, but not lots to earn",Compliance specialist,"good people, good place to learn and connect","low salary, hybrid structure but project dependent"
806,3,my review,Manager,"big company, interesting projects, team","low salaries, management, culture, schedule"
807,4,Comparing to the market its a good incompany in terms of environment and possibilities to grow,Communications manager,Very good people; good environment; very flexible; respect personal life,Pay above the market; Very family-driven
808,4,It's ok,Concept artist,- job security - cool projects - teamwork with likeminded people,- cancelled games - Salary - Old processes (mainly BlueByte) that make No sense
809,4,Good organisation to start carrier,Game tester,Great culture to work in the initial phase of your carrier,Management not so good and not so supportive
810,5,Ubisoft Paris as one of the best studios of Ubi,Technical environment artist,- Fantastic colleagues - HR is always supportive together with the managers - open to different career developments - Incredibly talented and experienced people to learn from - Not afraid to risk - Great events - Interesting projects - WFH options,"- the studio’s location is Not the best - the Salary is average, but HR are open to negotiate"
811,3,Good company,Recruiter,Well-known company with famous titles,"Low salaries in compare to other companies, layoffs,"
812,3,Greatplace for juniors,Concept artist,Very interesting projects on a creative standpoint.,Pay isn't very higi compared to international studios.
813,3,Laziness is king,Online programmer,"6 weeks of holidays, job safety, never need to go to the office","low salary, low growth opportunities, low motivation, takes forever to get things done, office is always dead, can’t work remotely outside of Quebec"
814,4,"Great team, awesome work, low pay",User researcher,"The research team is great, some of the best people you can ever work with and the work is always exciting and a fun challenge",Slow progression and not the best salaries.
815,4,Great company. Talent people.,Product manager,The company lives and breaths gaming - and all teams are extremely passionate by the work they do everyday. You will have the chance to meet and work alongside a lot of amazing people.,Nothing that comes to my mind.
816,3,so and so,Hr specialist,team events & lot of fun,small salaries & benefits package
817,5,Great Culture,Compliance specialist,"Modern approaches, great working culture, and high-notch technologies.",Not clear communication between management and workers
818,4,Good place to learn,Senior game tester,Friendly environment Gym Membership Free Public transportation Card,The company doesn't respect senior testers and pushes them to leave.
819,5,Excellent,Game tester,Environment and hybrid work system,Nothing as i know of
820,5,Fun,Game tester,"Fun environment, biggest studio, awesome games",Very hard to get jobs
821,4,Good Start,Junior game tester,Good Work Life Balance and Fun Team,Low Pay for Entry Level Testing Job
822,5,Finance,Finance,"Amazing work culture, employee oriented",Management needs to be improved
823,4,good working environment,Devops engineer,"Good working environment, high Tech toolkit.",not always get an annual salary increase.
824,4,Best workplace,Player protection analyst,They actually care about their employees wellbeing and mental health,My only con is that it’s not fully remote
825,3,"Amazing for early career, bad for mid and senior levels",Anonymous employee,Good career experience Nice atmosphere Generally friendly teammates,Low pay(!) Upper management are always behind the curve
826,4,Healthy work life balance,Software r&d engineer,For the most part company ensures a good work life balance. Job is fairly secured.,Pay is below industry standard.
827,5,Amazing Place to work,Compliance lead,"Work Life Balance, Lovely Team Mates",No cons I would love to work again
828,3,Good company to start a career,Jr. game tester,*Playing different games as a Tester was one of the Pros *Work Culture,No Work From Home in COVID
829,4,"Great culture, low compensation",Anonymous employee,"It feels that Ubisoft genuinely cares about people, they promote work-life balance and D&I, the leadership is very empathic and understanding. You really feel they try their best to make it a better company for everyone. On top of that, Ubisoft’s own in-house tech and tools are very good.","The company strategy appears clear, but it is difficult to understand how exactly will we achieve these goals. Salaries and bonuses are quite low compared to competitors, and there will be next to no surprising happenings like (bigger) gifts, sudden bonuses and such."
830,5,Great company,Software developer,Great challenges and opportunities and fun,Heavy Workload soemtimes confusing tasks
831,4,Entry position customer Support,Customer support,Friendly people Free videogames Nice atmosphere Good entry in gaming or tech/IT industry Private health insurance Gym incentive,Salary does not change with inflation Hard to grow/less opportunities to get projects or higher positions
832,4,Good work environment bad pay scale,Junior game data analyst,Good work environment Good Work life balance Nice Opportunity of growth,Salary growth Lack of recognition
833,4,Good,Ui designer,"Good work environment, avantages, mood",Game design decision and vision
834,5,IT support,Erp specialist,Good work-life balance Good employer,Nothing Nothing Nothing Nothing Nothing
835,4,Good employer but not right now,Assistant communication,"Good vibe, they take care of the people and the final product is cool",With the current crisis it's less nice than usual
836,5,Good place,Junior qa tester,"Aaa games, gym, private health insurance","Low salary, raise once a year"
837,5,Cool place to work for a while,3d animator,Good social packages. Remote work. Cool colleagues.,Sometime the organisation of the job is not well structured.
838,3,Maybe ok,3d character artist,Great Work/life balance and nice benefits,Poor Salary & career development
839,5,"Great Team, cool projects",Audio director,At Ubisoft I have the chance to learn and share with top professionals in the game industry and work in great AAA titles well known and appreciated by players around the world.,Because is a big companies there are sometimes lots of bureaucracy and corporate suits could be more interested in the way they look rather than the games they allegedly make.
840,1,"Talks a big game, not worth it",Customer service agent,"Centralised work building, easy to get to","Literally everything else, stagnant pay, office politics, clueless management and awful HR"
841,4,Life,Associate lead,Work life balance maintained well. A lot of initiatives are take to educate employees.,In the name of Gender Equality and other ethics sometimes unworthy people get what they don't deserve
842,3,"Great for learning, not for earning",Qc team leader,"You're given commodities like gym, free bikes on the summer, meal tickets. You may have some team building opportunities (although they haven't happened since Covid). It's a great place for you to learn and grab experience to add to your curriculum. You may get salary raises, and bonuses according to your performance. The environment is generally quite laid-back (although it may depend on your area and people you work with).","As most significant companies, they will give uneven salaries to people depending on the intended salary you have provided when interviewed. As time passes, they will give you fewer bonuses and salary raises regardless if you have excellent performance, forcing you to hit a ceiling in your development. Eventually, they'll make you work more, while getting less bonuses. The company seems to be more mindful of the money being spent since covid and changing to the new office, so team building, gifts and bonuses and salary raises have been considerably lower."
843,4,Good work life balance,Studio production director,Good work life balance. Respect and benevolence in the company.,"Huge machine, huge inertia, leading to disconnection sometimes between strategy and what can be made for leaders, and feeling of having no impact for collaborators"
844,2,Ubisoft - not good,Anonymous employee,Triple A A A Game development,Poor pay Poor organisation French elite
845,3,Just ok right now,Game tester,"on time pay, frequent events",work culture is becoming more like IT
846,5,Amazing place to work at,Game economy designer,The work environment is the best. They recognize your accomplishments and they manage their people well.,Very restrictive into doing a hybrid work setup policy
847,5,Ubisoft,Communications specialist,"Great work-life balance Great work environment Cross-cultural experiences, and collaboration with diverse teams",Compensation Career opportunities decision-making processes can be slow or bureaucratic
848,3,All things are nice except salary range for QC,Junior game tester,STRICTLY NO CALLS ON WEEKENDS AND LEAVES,Very Mininmum Salaries are provided and hikes are very low
849,4,Back end,Back-end developer,Good place to work with nice people from around the world,"Terrible pay, quick tip don't work for game companies for money"
850,4,Good place to learn and grow,Ui designer,- There are a lot of talented colleagues you can learn from. - It is a good opportunity to experience how a big gaming company works in case you just started a job in the gaming industry,"- Compensation is still not competitive, even though it's a repeating problem every year - Communication is challenging, as it is too global (meaning too multiple locations to collaborate for one project) - Unsure about top management"
851,4,Great place to work - but not to have a career,Talent development coordinator,- great colleagues - interesting opportunities and fields of work - hybrid working model,- Sub-par compensation across the board - very Limited career opportunities
852,3,A company that used to be fun,Marketing project manager,"The office is amazing, with great amenities, they give you a lot of freedom in terms of work from home","More and more budget cuts affecting your everyday life : no more business travels, very little to no allocated budget for extra entertainment at the office"
853,3,sdsd,3d character artist,"Good Projects, good learning experience.",The payment is the losest among AAA game companies
854,4,Good,Tester,Nice culture And Good Environment,Project Deadline And Work Ethics
855,4,After 10+ years in the company,Creative director,Work/Life balance Lots of in-house support services Opportunities for internal mobilities across +40 studios,Too many decision makers in departments that are too disconnected from the realities of production
856,2,"Good place to start, but leave as soon as you can",Test engineer,"-Overall atmosphere and teams, very friendly People -good opportunities for complete beginners in the field","-Laughable salaries, compared to the current market -Stagnant growth after easily reachable milestones -Broken promises and management's inability to own it -Senior Management that keeps driving the company downhill with 'strategic' decisions"
857,3,Not very good,Senior software engineer,"games, good coffee, bookster, word class","chaotic, low pay, very outdated"
858,3,Environment Artist,Environment artist,Some teams are nice to be on,Other teams are a nightmare
859,4,overall good experience,Manager,"employee engagement, other benefits besides salary","better career development opportunities, better salaries"
860,1,Toxic In Every Way,Social media,"- the pay is decent - Benefits start right away - Remote - Discounts on games, but there are restrictions","- You have to learn on the fly and you have to learn very fast - Everything you say and do will be scrutinized, even if you're talking casually and/or making a joke - You can never work hard enough. You will be told this - You are thrown into the deep end from the start - You must know everything and anything about your job, the company, who does what and why, how everything works, where things are, etc. in less than three weeks. - Your review is after a month or so. There was a very long list of everything I was doing wrong, only after a month. - You have to be a mind reader. If you can't read your boss' mind, you're going to hear about it - A training manual was made and things were added while I was in training. Still got in trouble when I didn't do things correctly - Everyone is overworked, stressed, and you have to do major overtime - Bosses take all their stress out on you. This is normal - It's OK for bosses to be wrong, but you can't. You will hear about it. A very high senior manager didn't even know Sparks of Hope was announced. This was her project, and there was an announcement about it the year before - The only way I could get my boss to stop ripping on me was to say I agree with her. She would not stop berating me until I said I agree with you. Once I said it, she immediately stopped berating me - You have to earn your vacation. For the amount of time you work, you are awarded vacation time - I tried to get training from my co-workers, but they said they can't give me training because they still get corrected by their bosses. These co-workers have been there for a year - You have to book meetings where staff from California, Quebec, and France can all be in attendance at the same time. This is extremely difficult, because there is a very small window when everyone is available, and everyone has meetings throughout the day. You will get reprimanded if you can't find a time that works for everyone, and there are very high senior managers who refuse to start their workday 30 minutes earlier to accommodate everyone else - If you don't immediately do something your boss tells you to do, you will get in trouble for it. Even if you are not told to do the thing immediately, the thing is not pressing in the slightest, and you have way more pressing things to do - Bosses seem to want to see you fail, instead of helping you succeed. They have a huge lack of patience and understanding - You will always be told you're doing more things wrong than right. You will rarely hear about the things you're doing right - You will get in trouble if their technology isn't working and/or taking too long to load/work - You are told you can talk to higher-ups if you are having any problems with your co-workers and/or bosses. Nobody cares"
861,3,Fun but frustrating,Content strategist,"Great benefits: 6 weeks vacations, flexible work from home schedule, health clinic on site & virtual, gym, cool office","Priorities keep changing, projects get killed constantly, low salary"
862,4,qc game tester,Qc tester,"good place, good people, good offices","don't give a lot of opportunity, you feel like a useless cog"
863,4,Good,Software developer,- good life and work balance,- a Little bit disorganized
864,4,Pretty good time at Ubisoft Québec,Gameplay programmer,"* Only did overtime for a few weeeks for the 5 years I've worked there * Failure to hit deadlines is put on management rather than workers * Can openly criticize without retribution * Job feels very safe, I've never heard of someone getting fired for lack of skills * Ubisoft Québec and Canadian Studios seem on a good path for improvement on work conditions * They were the only company willing to hire me out of school, and gave me the experience needed to become flooded with recruiters","* Salary below the industry average (75k CAD with 5 years experience), other companies offered me 1.6x to 2x that amount for the same 40h schedule. * Company doesn't seem to listen to criticism from employees * When there is overtime, it is not paid. It's not mandatory but nobody wants to be the only one on their team not putting in extra hours."
865,3,Good place For starters,Junior level designer,Good place for starters who are looking to break into the industry.,"Management is not great, and you have little creative freedom."
866,4,One of the Best Gaming studio,Game tester,Work life Balance Friendly Environment No pressure,Salary is bit low OT's can be frustrating sometimes
867,3,Good company,Compensation & benefits specialist,Young and restless. Good starting point.,Too cheap (French). Too much work for a few bucks.
868,5,Intership,Internship,The environment is really friendly and overall it was a great experience.,The pressure when working in production is high.
869,5,ok,Character artist,Amazing environment and team mates,Need a more ecompetitive salary
870,5,Ubisoft San Francisco,Anonymous employee,- good work-life balance - competitive salary - great team and welcoming environment - hybrid and remote options,- Pipeline and processes can be a bit messy at times
871,3,Norm company,Development tester,"Its okay, cannot complain much","It's alright, not much room for growth, but it doesn't matter"
872,3,Looks like a nice company but isn't,Talent acquisition specialist,"Great conditions, big company, nice partys, cool offices.","The structure of the company, bad leadership, work culture and environment, no place to grow and no transparency in the company."
873,4,Lots of learning opportunities,Senior technical artist,Exposure to multiple projects You can grow alot if you have zeal to learn and grow Company provides best work life balance Workload is managed well,You me get too comfortable if you don't push yourself
874,4,Great people to work with,Monetization specialist,Working on some of the strongest titles in the industry,Company has been recently been sear
875,3,Nice,Qa test engineer,Good company to work nice environment,salary and management issues here
876,4,"Great Company, Not Without Issues",Team lead artist,"Great people Training support, lots of opportunities for growth Interesting IP's Good work/life balance",Overall direction questionable Poor pay and bonuses
877,5,Work-life balance,Anonymous employee,flexible working Hybrid working wellbeing initiative social activities Free lunches Parties,Not very competitive with salaries
878,5,Good people,Intermediate game designer,"Everyone in the Halifax studio is a pleasure to work with, there’s a real sense of camaraderie and people care about each other. Diversity initiatives are taken very seriously and there’s a lot of non-male non-white employees that stands out in an often very uniform industry.",Working with the global team does not have the same feeling as within studio.
879,2,Ubi London Review,Anonymous employee,Good benefits even though they are taxed,"Low salaries, poor management, no direction, hiring freezes, no morale"
880,3,Less payment and Appraisals,Junior game tester,1 Work life balance 2 Work load 3 Work pressure 4 Deadlines 5 Opportunities,1 Payment 2 Senior Management 3 Appraisal 4 Bonus 5 Promotion
881,2,Ok-ish,Localization specialist,Good balance between work/private life.,No career path inside the department.
882,4,Good Place to work,Game tester,Great Enviornment to work in,Salary is the biggest drawback
883,5,Excellent work place,Qa engineer,"Friendly work environment, competitive salary and benefits",High level management lacks ideas
884,3,Good culture bad pay,Liveqa specialist,"Great benefits, completely possible to WFH",Lack of growth in the field
885,2,CRC Operations,Learning & development specialist,Friendly office culture and tight knit community of co-workers.,"Substandard pay, chronic mismanagement, customer toxicity."
886,5,Great company with wonderful advantages for an unfortunately low pay,Junior project coordinator,"The general mood in the studio is great and lots of benefits (profit sharing, stock, discounts on various activities, flexible work hours and partial remote work ...) The flexibility and understanding in the studio is yet to be matched in another company for me.",The pay for this type of job in a tech industry is fairly low especially considering the cost of living in the city the studio is in.
887,5,Amazing compamy culture,Senior product manager,The company culture is amazing. You are welcomed and feel at home right from the get go. Great challenges and with passionated people.,Video games is a volatile field so you must be prepared to change topics when a project is discontinued
888,4,C&B,C&b manager,Good work and life balance,Leadership structure and company governance
889,5,Fantastic work condition,Senior 3d character artist,6 weeks vacation Salary raise every year,Work condition is different in every project
890,4,Game design,Game developer,Game design and development course ake video is not available,Game design of the end of the idea of duty mobile
891,5,Best Place to work part-time as an Internaitonal Student,Junior data analyst,"You work onsite only once in a week, then work from home the rest of the week, and you choose when you want to work onsite. There is use flexi time for overtime. It's also a workplace that allows you to be yourself.","Meetings can be overwhelming, but that's what you signed for anyways"
892,5,Supportive and fulfilling experience for a new programmer,Gameplay programmer,The environment at my particular studio was very supportive and inclusive I learnt a lot and got to work on some interesting things,Innovation and opportunities to branch out from your niche felt held back by red tape
893,3,Pretty good experience,Associate game designer,The work culture is great and you would be surrounded by supportive people.,There is crunch culture at ubisoft pune.
894,4,Positive Work Culture,Junior game tester,Great working culture for freshers,low salary compared to other
895,1,Worst Company Ever,Compliance specialist,Cafeteria Work Place Office location,Very low salary and compensation slow career growth politics during appraisals and rewards event workload
896,1,Unstable work environment,Supervisor,- Room for advencement - Room for creativity,- Not a lot of support for staff - Management doesn't listen
897,4,Great place to learn & grow!,Project manager,Talented teams Strong support network Full service studio - all operations In-House Ship games,Big teams - decentralized ownership
898,4,Good place,Concept artist,Relaxed working place. OK benefits.,Games got cancelled left and right.
899,4,A good company to work,Generalist programmer,Work life balance and good culture to respect each other.,The pay is not that good.
900,3,Poor management,Technical support engineer,The offer a flexible work schedule,Poor resource management. There are also too many levels of management for the amount of employees in their department.
901,5,Thumbs up,"Manager, analytics","Good culture, good opportunities for growth for strong performers","Politics in a family owned business, risk averse"
902,3,It's OK,Character rigger,"People are usually nice. If you like fruit baskets, on-site bike repairs, foodtrucks ect, it s a good place to be for work.",Salary doesn't meet expectations. Decisions take a long time to be made. Recrutment system takes litteral months.
903,4,Job is good but less pay,Junior game tester,work load is negligible and good work culture,less pay less increment nothing more
904,4,ok,Gameplay programmer,"friendly work environment, the people are sociable(or can leave you alone if you want). its a nice place to make friends & meet people in the industry. You're allowed to do bigger tasks & systems & problems relatively early on, bigger than your skill level. A nice place to learn alot on the job and get valuable experience.","high level company management a bit all over the place, projects without direction running in circle in development hell and eventually being cut or releasing in a bad state."
905,5,Good Company,Risk analyst,Innovative Good benefits Great coworkers,"No major cons, enjoyable and young workforce"
906,3,Not a forever job,Customer support representative,"Benefits, free games, occasional gifts","Those gifts are usually a mug or a cheap towel or a pizza party. The free games aren't free once you are let go or quit. They force you to go into office despite lack of transportation, Covid risks to you and your family and they do not enforce mandatory vaccines. They don't have competitive pay."
907,5,Love Working Here!,Technical artist,Best place I've ever worked! Amazing team!,None that come to mind immediately.
908,5,camera special,Camera specialist,"Amazing place to work, not a stressful environment",I didnt find any cons for the moment
909,4,My few words about Ubisoft,Environment artist,Not a bad team and teamwork.,Not the best zaprlata on ambient positions. There are cases of not paying extra for overtime
910,4,Good environment,Game developer,Good environment Friendly co-worker Good place to work and learn,Can't think of anything for now
911,3,"Good for beginners, BAD if you expect high salaries",Quality assurance/software tester,- great as a starting career in a corporation - Free games,"- Low to insignificant salary increase - Sometimes bad management - You are given tasks that do not belong to your department but you have to do them - The ""flexible"" program isn't flexible"
912,3,Review,Junior game tester,Good fora stable amount of money,No growth after 2 years
913,2,A Sunseting Gaming Developer & Publisher,Digital marketing specialist,+ One of the largest coporates in gaming industry. +Good work-life balance. + Not Bad salary level + Have several strong brands like Assassin's Creed & Tom Clancy franchise.,"- Poor Project Management, the company has always being leaking their developing products. - Poor Internal Cooperation, the company just merged their EMEA and NCSA subsidaries, and everything is in chaos since then. - Very Minor Creativity, this company was once famous for its brilliant ideas and had generated famous titles like Assassins's Creed, Ghosr Recon, Prince of Persia, and more. Yet since it had started to addict to so call ""Ubi-formular"" standardlized production flow. Now, most of the Ubisoft games all have veery similar and repeatatives style."
914,5,Life changing experience!,Talent acquisition specialist,"Inspiring people all around, they mostly seem good hearted and all want the best in terms of promoting a good work environments. There are a lot of opportunities and projects to work on. Moving internally is also sometimes an opportunity. Inclusive Employee Resource groups. I have supportive Managers who don’t micromanage and give me great feedback. Managers take trainings. Amazing projects in production, beyond that even. Great things coming.","Level system for seniority can be challenging, but based on clear and transparent criteria which is helpful."
915,5,Great benefits,Marketing product manager (pmm),6 weeks vacation Major budgets and reach Cool project,Super politic and hierarchy is intense Progression in marketing is hard with the lack of movement from director levels
916,3,Nice work culture but less payment,Compliance specialist,Very nice Work Culture and good office people,Very less payment compare to responsibilities.
917,3,Good to get your foot in the door,Senior development tester,Give people with none gaming industry experience a chance Good working environment,Could pay better for seniority Difficult to move onto other projects
918,2,Good place to grow but wrong leadership,Ux-ui designer,"Amazing people, mentor, opportunities to learn and grow",A few people in leadership is discouraging the whole organization
919,1,Underpaid overworked,Anonymous employee,"You can wear whatever you want, sweatpants, crocs, colored, hair, tatts, piercings. No worries about pre-employment drug testing. You don't have to be ""professional""","Ridiculously low pay, everyone is undervalued, promotions are a joke just to keep you hooked on the line so you don't look elsewhere."
920,4,Very good,Qa - game tester,Very good with culture here.,Growth is very competitive here
921,5,lkove,3d artist,"great, good, amazing and fantastic",bad hate tiring food fat
922,4,Amazing workplace,Game tester,Work culture is very good,I haven't seen any till now
923,3,Not that great,Gane programmer,"Good wlb, very less work,",Outdated people and work Bad HR Bad policies
924,3,A transitioning company,Anonymous employee,"Big and exciting projects, and a lot of opportunities to work on great things",The Bucharest subsidiary went through some management changes that weren't so pleasant and reflected at team level
925,3,Low Salary,Technical artist,"Good ambiance, not too much pressure","Experience and loyalty not valuated, reflected on salary"
926,5,Helpful Team,Ai programmer,The team are very helpful and kind,The workplace isn't as beautiful as I thought
927,4,It is ok,3d lead artist,Nice people to work with.,Production can be a bit chaotic.
928,3,the micro management on Ubisoft Chengdu,Artist,some good opportunity for working on AAA titles,"Low pay serious micro management issues, mostly like some of the chinese local company almost opaque working environment"
929,3,A good career launch,Senior level designer,Amazing people to work with (most of the times),-Lack of transparency -No full remote -Salaries are not competitive
930,1,Review,Anonymous employee,No pros at all here,"Nobody respect anyone Everyone blames employees with lower rank Managers abuse employees, and even if you report them, nothing changes because what? Yes, you report to the same manager HRs prefer to hide all problems and don’t report CEO shows off his villa on most occasions"
931,3,it's ok,Texture artist,it's ok with the interview,every things is goods about the firm
932,4,"Good working conditions, average salary",Senior online programmer,- good working environment - good work/life balance - managers are close with their team and are always available - Beautiful office situated in a trendy neighborhood,"- Average or slightly below Average salaries - Somewhat negative Company image - Profit-driven Decisions taken by top Management, which clashes with a Creative domain like video games"
933,4,the question is not hard,3d programmer,"wlb, AAA games, high quality, nice people","salary, location, not challengable, no headcount"
934,4,Decent work,Programmer,"No complains really, good work environment",no transparency between management and developers
935,5,Amazing culture and management,Software engineer,Great culture there. Great management.,Not free food No free wifi etc
936,2,Not recommended,Associate lead programmer,Nice teams and great colleagues,"Awful salary, worst leadership and management"
937,3,Good place,Mission designer,Great IPs to work with and amazing people,Low salary based on the necessities of the city. Outdated technology
938,3,Good company to work with,Game tester,Work life balance is good ..,Salary scale is not that good
939,4,Good place to start your career,Communications manager,"Energetic atmosphere, lots to do and learn and relative independency to pursue projects","A ""Ubisoft"" way of doing things and many layers of management and validation which can be frustrating"
940,4,Intermediate,Game tester,Free time for you .,Low increase time . .
941,4,Not the Same,Anonymous employee,-good People -cool games -Global Company - Opportunity for travel etc.,-Low pay for tech -SF office is lame compared to the other offices where games are developed
942,5,n/a,Junior level artist,Really good environment and working condition,Too far away and don't have enough space
943,5,Great,Live operations specialist,love working here great company to grow with,hours can be grueling at times
944,5,recommended,3d artist,"stimulating projects, good corporate culture",big structure with some inertia
945,1,Bad,3d character artist,Work life balance was okay,A lot of politics happens in the company
946,4,It's ok,3d artist,People are kind of nice and have a good work ambiance,Nothing much as a con
947,3,Review,Senior game tester,"Additional benefits, chill working environment","Low salary, low bonuses, few career opportunities"
948,2,Could be better,Senior game tester,"Great people, fun job if you like video games","Pay is way too low, no actual trainings, if you want to change departments you need to have learned the needed skills on your own and have no opportunities to learn them because, as stated earlier, there are no trainings"
949,4,Has variety but needs communication,Concept artist,Variety of projects to work on.,Project managment and communication and they are usually swamp with tasks so it takes time to communicate
950,4,All good,Java software engineer,All good all good all,None none none none none
951,3,Dysfunctional operation,Concept artist,It's a great place to get your foot in the door.,Lots of politics. Too many projects with no vision at all. Low salaries.
952,5,good,Analyst,good work life balance and understanding leadership,not many cons to mention
953,5,Good place,Tools support specialist,"Friendly people, helpful and great company parties",No cons at the moment
954,3,average,3d programmer,Supportive Job security Growth Freedom Respect,Low pay Overwork Crunch times
